team,city
Bayern,Munich
Copenhagen,Copenhagen
Galatasaray,Istanbul
Manchester United,Manchester
Arsenal,London
PSV,Eindhoven
Lens,Lens
Sevilla,Seville
Real Madrid,Madrid
Napoli,Naples
Braga,Braga
Union Berlin,Berlin
Real Sociedad,San Sebastián
Inter,Milan
Benfica,Lisbon
Salzburg,Salzburg
Atlético de Madrid,Madrid
Lazio,Rome
Feyenoord,Rotterdam
Celtic,Glasgow
Borussia Dortmund,Dortmund
Paris Saint-Germain,Paris
AC Milan,Milan
Newcastle,Newcastle upon Tyne
Manchester City,Manchester
RB Leipzig,Leipzig
Young Boys,Bern
Crvena zvezda,Belgrade
Barcelona,Barcelona
FC Porto,Porto
Shakhtar Donetsk (2023/24),Hamburg
Antwerp,Antwerp
Liverpool,Liverpool
Ajax,Amsterdam
Rangers,Glasgow
Club Brugge,Bruges
Bayer 04 Leverkusen,Leverkusen
Viktoria Plzeň,Plzeň
Tottenham Hotspur,London
Eintracht Frankfurt,Frankfurt
Sporting CP,Lisbon
Marseille,Marseille
Chelsea,London
Dinamo Zagreb,Zagreb
Shakhtar Donetsk (2022/23),Warsaw
Juventus,Turin
Maccabi Haifa,Haifa
Beşiktaş,Istanbul
Sheriff,Tiraspol
Shakhtar Donetsk (2021/22),Kyiv
Dynamo Kyiv,Kyiv
Villarreal,Villarreal
Atalanta,Bergamo
Lille,Lille
VfL Wolfsburg,Wolfsburg
Zenit,Saint Petersburg
Malmö FF,Malmö