rank,association_name,association_code,coefficient,status
1,England,ENG,109.570,
2,Spain,ESP,92.998,
3,Germany,GER,82.481,
4,Italy,ITA,81.926,
5,France,FRA,61.164,
6,Netherlands,NED,59.900,
7,Portugal,POR,56.216,
8,Belgium,BEL,42.200,
9,Scotland,SCO,36.400,
10,Austria,AUT,34.000,
11,Serbia,SRB,32.375,
12,TÃ¼rkiye,TUR,32.100,
13,Switzerland,SUI,31.675,
14,Ukraine,UKR,29.500,
15,Czechia,CZE,29.050,
16,Norway,NOR,29.000,
17,Denmark,DEN,27.825,
18,Russia,RUS,26.215,excluded
19,Croatia,CRO,25.400,
20,Greece,GRE,25.225,
21,Israel,ISR,25.000,
22,Cyprus,CYP,24.475,
23,Sweden,SWE,23.750,
24,Poland,POL,20.750,
25,Hungary,HUN,20.625,
26,Romania,ROM,20.500,
27,Bulgaria,BUL,20.000,
28,Slovakia,SVK,19.750,
29,Azerbaijan,AZE,16.625,
30,Kazakhstan,KAZ,12.625,
31,Slovenia,SVN,12.500,
32,Moldova,MDA,12.250,
33,Kosovo,KOS,11.041,
34,Liechtenstein,LIE,11.000,excluded
35,Latvia,LAT,10.625,
36,Republic of Ireland,IRL,10.375,
37,Finland,FIN,10.200,
38,Lithuania,LTU,10.000,
39,Armenia,ARM,9.875,
40,Belarus,BLR,9.875,
41,Bosnia and Herzegovina,BIH,9.750,
42,Luxembourg,LUX,9.000,
43,Faroe Islands,FRO,8.750,
44,Northern Ireland,NIR,8.583,
45,Malta,MLT,8.250,
46,Georgia,GEO,8.000,
47,Estonia,EST,7.582,
48,Iceland,ISL,7.250,
49,Albania,ALB,6.250,
50,Wales,WAL,6.166,
51,Gibraltar,GIB,5.791,
52,North Macedonia,MKD,5.500,
53,Andorra,AND,5.165,
54,Montenegro,MNE,4.750,
55,San Marino,SMR,1.999,